ID	PRIMER	ERROR
ERR346600.258	IgH-fw15	0.55
ERR346600.265	IgH-fw2	0.0
ERR346600.268	IgH-fw5	0.0
ERR346600.274	IgH-fw3	0.0
ERR346600.272	IgH-fw17	0.050000000000000044
ERR346600.271	IgH-fw10	0.0
ERR346600.270	IgH-fw1	0.0
ERR346600.276	IgH-fw8	0.0
ERR346600.275	IgH-fw9	0.0
ERR346600.273	IgH-fw2	0.0
ERR346600.269	IgH-fw2	0.0
ERR346600.277	IgH-fw17	0.0
ERR346600.279	IgH-fw2	0.0
ERR346600.278	IgH-fw3	0.0
ERR346600.281	IgH-fw11	0.0
ERR346600.282	IgH-fw17	0.0
ERR346600.280	IgH-fw3	0.0
ERR346600.285	IgH-fw4	0.0
ERR346600.284	IgH-fw9	0.0
ERR346600.283	IgH-fw5	0.0
ERR346600.289	IgH-fw1	0.0
ERR346600.290	IgH-fw4	0.0
ERR346600.288	IgH-fw1	0.0
ERR346600.291	IgH-fw6	0.0
ERR346600.287	IgH-fw6	0.0
ERR346600.286	IgH-fw5	0.0
ERR346600.297	IgH-fw17	0.050000000000000044
ERR346600.296	IgH-fw11	0.0
ERR346600.299	IgH-fw4	0.0
ERR346600.293	IgH-fw11	0.0
ERR346600.294	IgH-fw6	0.0
ERR346600.303	IgH-fw6	0.0
ERR346600.302	IgH-fw5	0.0
ERR346600.300	IgH-fw10	0.0
ERR346600.292	IgH-fw5	0.0
ERR346600.306	IgH-fw2	0.0
ERR346600.304	IgH-fw1	0.0
ERR346600.305	IgH-fw2	0.0
ERR346600.308	IgH-fw3	0.0
ERR346600.307	IgH-fw14	0.0
ERR346600.310	IgH-fw1	0.0
ERR346600.312	IgH-fw1	0.0
ERR346600.309	IgH-fw12	0.0
ERR346600.314	IgH-fw9	0.0
ERR346600.311	IgH-fw6	0.0
ERR346600.315	IgH-fw5	0.0
ERR346600.313	IgH-fw11	0.0
ERR346600.318	IgH-fw3	0.0
ERR346600.316	IgH-fw5	0.0
ERR346600.323	IgH-fw5	0.0
ERR346600.320	IgH-fw9	0.0
ERR346600.325	IgH-fw11	0.0
ERR346600.317	IgH-fw9	0.65
ERR346600.319	IgH-fw2	0.0
ERR346600.301	IgH-fw11	0.0
ERR346600.322	IgH-fw6	0.0
ERR346600.324	IgH-fw3	0.0
ERR346600.327	IgH-fw3	0.050000000000000044
ERR346600.326	IgH-fw5	0.0
ERR346600.331	IgH-fw17	0.0
ERR346600.321	IgH-fw5	0.0
ERR346600.332	IgH-fw3	0.0
ERR346600.334	IgH-fw11	0.0
ERR346600.329	IgH-fw4	0.0
ERR346600.333	IgH-fw12	0.0
ERR346600.339	IgH-fw10	0.0
ERR346600.336	IgH-fw3	0.0
ERR346600.337	IgH-fw5	0.0
ERR346600.335	IgH-fw9	0.0
ERR346600.342	IgH-fw14	0.0
ERR346600.338	IgH-fw3	0.0
ERR346600.341	IgH-fw4	0.0
ERR346600.343	IgH-fw9	0.0
ERR346600.346	IgH-fw5	0.0
ERR346600.345	IgH-fw6	0.0
ERR346600.344	IgH-fw10	0.0
ERR346600.348	IgH-fw10	0.0
ERR346600.347	IgH-fw8	0.0
ERR346600.340	IgH-fw9	0.0
ERR346600.351	IgH-fw17	0.0
ERR346600.354	IgH-fw4	0.0
ERR346600.350	IgH-fw10	0.0
ERR346600.349	IgH-fw10	0.0
ERR346600.353	IgH-fw6	0.0
ERR346600.352	IgH-fw17	0.0
ERR346600.355	IgH-fw2	0.0
ERR346600.359	IgH-fw2	0.0
ERR346600.356	IgH-fw1	0.0
ERR346600.357	IgH-fw5	0.0
ERR346600.362	IgH-fw9	0.0
ERR346600.360	IgH-fw10	0.0
ERR346600.369	IgH-fw1	0.0
ERR346600.361	IgH-fw2	0.0
ERR346600.365	IgH-fw13	0.0
ERR346600.371	IgH-fw2	0.0
ERR346600.377	IgH-fw9	0.0
ERR346600.364	IgH-fw17	0.0
ERR346600.366	IgH-fw6	0.0
ERR346600.374	IgH-fw17	0.0
ERR346600.375	IgH-fw10	0.0
ERR346600.368	IgH-fw1	0.0
ERR346600.363	IgH-fw11	0.0
ERR346600.373	IgH-fw9	0.0
ERR346600.370	IgH-fw5	0.0
ERR346600.383	IgH-fw9	0.0
ERR346600.372	IgH-fw6	0.0
ERR346600.378	IgH-fw12	0.0
ERR346600.379	IgH-fw2	0.0
ERR346600.382	IgH-fw10	0.0
ERR346600.376	IgH-fw3	0.0
ERR346600.386	IgH-fw2	0.0
ERR346600.384	IgH-fw10	0.0
ERR346600.385	IgH-fw17	0.0
ERR346600.392	IgH-fw9	0.0
ERR346600.380	IgH-fw5	0.0
ERR346600.389	IgH-fw4	0.0
ERR346600.387	IgH-fw5	0.0
ERR346600.391	IgH-fw4	0.0
ERR346600.388	IgH-fw5	0.0
ERR346600.390	IgH-fw5	0.0
ERR346600.396	IgH-fw12	0.0
ERR346600.393	None	1.0
ERR346600.394	IgH-fw6	0.0
ERR346600.395	IgH-fw4	0.0
ERR346600.400	IgH-fw3	0.0
ERR346600.398	IgH-fw4	0.0
ERR346600.381	IgH-fw3	0.0
ERR346600.399	IgH-fw3	0.0
ERR346600.407	IgH-fw5	0.0
ERR346600.402	IgH-fw17	0.0
ERR346600.405	IgH-fw4	0.0
ERR346600.409	IgH-fw1	0.0
ERR346600.411	IgH-fw4	0.0
ERR346600.414	IgH-fw16	0.0
ERR346600.397	IgH-fw9	0.050000000000000044
ERR346600.404	IgH-fw1	0.0
ERR346600.408	IgH-fw11	0.0
ERR346600.410	IgH-fw10	0.0
ERR346600.401	IgH-fw3	0.0
ERR346600.406	IgH-fw3	0.0
ERR346600.412	IgH-fw3	0.0
ERR346600.413	IgH-fw2	0.0
ERR346600.419	IgH-fw9	0.0
ERR346600.415	IgH-fw3	0.0
ERR346600.417	IgH-fw2	0.7
ERR346600.420	IgH-fw2	0.0
ERR346600.422	IgH-fw6	0.0
ERR346600.418	IgH-fw3	0.0
ERR346600.424	IgH-fw10	0.0
ERR346600.421	IgH-fw6	0.0
ERR346600.427	IgH-fw3	0.0
ERR346600.432	IgH-fw4	0.0
ERR346600.416	IgH-fw9	0.0
ERR346600.425	IgH-fw5	0.0
ERR346600.428	IgH-fw2	0.5
ERR346600.423	IgH-fw11	0.0
ERR346600.431	IgH-fw12	0.0
ERR346600.430	IgH-fw11	0.0
ERR346600.429	IgH-fw1	0.0
ERR346600.433	IgH-fw6	0.0
ERR346600.435	IgH-fw4	0.050000000000000044
ERR346600.426	IgH-fw4	0.0
ERR346600.438	IgH-fw3	0.0
ERR346600.439	IgH-fw1	0.0
ERR346600.434	IgH-fw4	0.0
ERR346600.437	IgH-fw4	0.0
ERR346600.436	IgH-fw11	0.0
ERR346600.446	IgH-fw6	0.0
ERR346600.442	IgH-fw2	0.0
ERR346600.443	IgH-fw2	0.0
ERR346600.441	IgH-fw10	0.0
ERR346600.444	IgH-fw4	0.0
ERR346600.447	IgH-fw4	0.0
ERR346600.448	IgH-fw4	0.0
ERR346600.449	IgH-fw11	0.0
ERR346600.452	IgH-fw10	0.0
ERR346600.455	IgH-fw10	0.0
ERR346600.445	IgH-fw7	0.0
ERR346600.454	IgH-fw9	0.0
ERR346600.458	IgH-fw3	0.0
ERR346600.440	IgH-fw3	0.0
ERR346600.453	IgH-fw3	0.0
ERR346600.456	IgH-fw5	0.0
ERR346600.459	IgH-fw11	0.0
ERR346600.450	IgH-fw6	0.0
ERR346600.457	IgH-fw1	0.0
ERR346600.465	IgH-fw17	0.0
ERR346600.461	IgH-fw6	0.050000000000000044
ERR346600.460	IgH-fw6	0.0
ERR346600.451	IgH-fw12	0.0
ERR346600.462	IgH-fw3	0.0
ERR346600.464	IgH-fw2	0.0
ERR346600.467	IgH-fw14	0.0
ERR346600.469	IgH-fw9	0.0
ERR346600.473	IgH-fw6	0.0
ERR346600.463	IgH-fw5	0.0
ERR346600.472	IgH-fw4	0.0
ERR346600.471	IgH-fw10	0.0
ERR346600.470	IgH-fw2	0.0
ERR346600.466	IgH-fw6	0.0
ERR346600.480	IgH-fw2	0.0
ERR346600.484	IgH-fw6	0.0
ERR346600.478	IgH-fw10	0.0
ERR346600.476	IgH-fw1	0.0
ERR346600.475	IgH-fw1	0.0
ERR346600.479	IgH-fw2	0.0
ERR346600.474	IgH-fw6	0.0
ERR346600.481	IgH-fw9	0.0
ERR346600.477	IgH-fw2	0.0
ERR346600.482	IgH-fw5	0.0
ERR346600.490	IgH-fw5	0.050000000000000044
ERR346600.487	IgH-fw2	0.0
ERR346600.491	IgH-fw15	0.0
ERR346600.488	IgH-fw3	0.0
ERR346600.485	IgH-fw2	0.0
ERR346600.483	IgH-fw12	0.0
ERR346600.493	IgH-fw3	0.0
ERR346600.497	IgH-fw3	0.0
ERR346600.496	IgH-fw2	0.0
ERR346600.489	IgH-fw11	0.0
ERR346600.494	IgH-fw4	0.0
ERR346600.492	IgH-fw9	0.0
ERR346600.498	IgH-fw9	0.0
ERR346600.499	IgH-fw9	0.0
ERR346600.502	IgH-fw9	0.0
ERR346600.503	IgH-fw5	0.0
ERR346600.500	IgH-fw15	0.0
ERR346600.495	IgH-fw2	0.050000000000000044
ERR346600.507	IgH-fw3	0.0
ERR346600.506	IgH-fw8	0.7
ERR346600.508	IgH-fw7	0.0
ERR346600.501	IgH-fw9	0.0
ERR346600.504	IgH-fw2	0.44999999999999996
ERR346600.511	IgH-fw5	0.0
ERR346600.509	IgH-fw5	0.0
ERR346600.514	IgH-fw10	0.0
ERR346600.505	IgH-fw7	0.0
ERR346600.513	IgH-fw1	0.0
ERR346600.512	IgH-fw4	0.0
ERR346600.515	IgH-fw5	0.0
ERR346600.520	IgH-fw8	0.0
ERR346600.519	IgH-fw9	0.0
ERR346600.510	IgH-fw9	0.0
ERR346600.522	IgH-fw6	0.0
ERR346600.516	IgH-fw4	0.0
ERR346600.525	IgH-fw7	0.0
ERR346600.521	IgH-fw3	0.0
ERR346600.528	IgH-fw10	0.0
ERR346600.517	IgH-fw11	0.0
ERR346600.523	IgH-fw3	0.050000000000000044
ERR346600.527	IgH-fw5	0.0
ERR346600.531	IgH-fw1	0.0
ERR346600.529	IgH-fw6	0.0
ERR346600.532	IgH-fw12	0.0
ERR346600.524	IgH-fw5	0.0
ERR346600.530	IgH-fw6	0.0
ERR346600.526	IgH-fw6	0.0
ERR346600.538	IgH-fw2	0.0
ERR346600.533	IgH-fw2	0.0
ERR346600.535	IgH-fw12	0.0
ERR346600.536	IgH-fw3	0.0
ERR346600.539	IgH-fw5	0.0
ERR346600.537	IgH-fw3	0.0
ERR346600.541	IgH-fw9	0.0
ERR346600.534	IgH-fw9	0.0
ERR346600.542	IgH-fw3	0.0
ERR346600.540	IgH-fw7	0.0
ERR346600.545	IgH-fw8	0.0
ERR346600.544	IgH-fw12	0.0
ERR346600.543	IgH-fw1	0.0
ERR346600.548	IgH-fw3	0.0
ERR346600.546	IgH-fw9	0.0
ERR346600.550	IgH-fw5	0.0
ERR346600.547	IgH-fw3	0.0
ERR346600.549	IgH-fw1	0.0
ERR346600.556	IgH-fw6	0.0
ERR346600.551	IgH-fw5	0.0
ERR346600.552	IgH-fw12	0.0
ERR346600.553	IgH-fw4	0.0
ERR346600.555	IgH-fw2	0.050000000000000044
ERR346600.554	IgH-fw2	0.0
ERR346600.557	IgH-fw3	0.0
ERR346600.561	IgH-fw9	0.0
ERR346600.559	IgH-fw6	0.0
ERR346600.565	IgH-fw12	0.0
ERR346600.566	IgH-fw11	0.0
ERR346600.560	IgH-fw11	0.0
ERR346600.558	IgH-fw4	0.0
ERR346600.562	IgH-fw1	0.0
ERR346600.563	IgH-fw10	0.0
ERR346600.564	IgH-fw2	0.0
ERR346600.569	IgH-fw2	0.0
ERR346600.570	IgH-fw9	0.0
ERR346600.572	IgH-fw9	0.0
ERR346600.571	IgH-fw5	0.0
ERR346600.567	IgH-fw1	0.0
ERR346600.568	IgH-fw1	0.0
ERR346600.577	IgH-fw5	0.0
ERR346600.578	IgH-fw17	0.0
ERR346600.575	IgH-fw2	0.0
ERR346600.573	IgH-fw11	0.0
ERR346600.574	IgH-fw10	0.0
ERR346600.584	IgH-fw9	0.0
ERR346600.581	IgH-fw5	0.0
ERR346600.576	IgH-fw5	0.0
ERR346600.582	IgH-fw5	0.0
ERR346600.579	IgH-fw3	0.0
ERR346600.585	IgH-fw3	0.050000000000000044
ERR346600.580	IgH-fw8	0.0
ERR346600.589	IgH-fw4	0.0
ERR346600.586	IgH-fw5	0.0
ERR346600.588	IgH-fw4	0.0
ERR346600.590	IgH-fw6	0.0
ERR346600.583	IgH-fw9	0.0
ERR346600.591	IgH-fw4	0.0
ERR346600.587	IgH-fw3	0.0
ERR346600.593	IgH-fw6	0.0
ERR346600.595	IgH-fw9	0.0
ERR346600.597	IgH-fw5	0.0
ERR346600.592	IgH-fw16	0.0
ERR346600.598	IgH-fw11	0.0
ERR346600.594	IgH-fw9	0.0
ERR346600.596	IgH-fw2	0.0
ERR346600.600	IgH-fw2	0.0
ERR346600.602	IgH-fw3	0.0
ERR346600.601	IgH-fw3	0.0
ERR346600.605	IgH-fw2	0.0
ERR346600.599	IgH-fw12	0.0
ERR346600.604	IgH-fw6	0.050000000000000044
ERR346600.609	IgH-fw2	0.0
ERR346600.610	IgH-fw5	0.0
ERR346600.603	IgH-fw3	0.0
ERR346600.611	IgH-fw6	0.0
ERR346600.607	IgH-fw1	0.0
ERR346600.612	IgH-fw4	0.0
ERR346600.614	IgH-fw1	0.0
ERR346600.616	IgH-fw6	0.0
ERR346600.608	IgH-fw11	0.050000000000000044
ERR346600.618	IgH-fw10	0.35
ERR346600.617	IgH-fw9	0.0
ERR346600.615	IgH-fw17	0.0
ERR346600.620	IgH-fw2	0.0
ERR346600.621	IgH-fw5	0.0
ERR346600.619	IgH-fw9	0.0
ERR346600.624	IgH-fw5	0.0
ERR346600.613	IgH-fw4	0.0
ERR346600.622	IgH-fw5	0.0
ERR346600.625	IgH-fw5	0.0
ERR346600.623	IgH-fw3	0.0
ERR346600.606	IgH-fw16	0.0
ERR346600.626	IgH-fw1	0.0
ERR346600.629	IgH-fw6	0.0
ERR346600.628	IgH-fw2	0.0
ERR346600.636	IgH-fw11	0.0
ERR346600.631	IgH-fw4	0.0
ERR346600.632	IgH-fw2	0.0
ERR346600.630	IgH-fw1	0.0
ERR346600.633	IgH-fw9	0.050000000000000044
ERR346600.635	IgH-fw6	0.0
ERR346600.627	IgH-fw17	0.0
ERR346600.639	IgH-fw3	0.0
ERR346600.637	IgH-fw4	0.0
ERR346600.644	IgH-fw4	0.0
ERR346600.641	IgH-fw10	0.0
ERR346600.640	IgH-fw5	0.0
ERR346600.643	IgH-fw9	0.6
ERR346600.634	IgH-fw2	0.0
ERR346600.645	IgH-fw6	0.0
ERR346600.642	IgH-fw5	0.0
ERR346600.646	IgH-fw3	0.0
ERR346600.638	IgH-fw5	0.0
ERR346600.648	IgH-fw1	0.0
ERR346600.651	IgH-fw1	0.0
ERR346600.652	IgH-fw4	0.0
ERR346600.649	IgH-fw10	0.0
ERR346600.655	IgH-fw5	0.0
ERR346600.650	IgH-fw1	0.0
ERR346600.654	IgH-fw10	0.0
ERR346600.657	IgH-fw6	0.0
ERR346600.660	IgH-fw10	0.0
ERR346600.658	IgH-fw5	0.0
ERR346600.653	IgH-fw6	0.0
ERR346600.662	IgH-fw17	0.0
ERR346600.665	IgH-fw5	0.0
ERR346600.664	IgH-fw10	0.0
ERR346600.659	IgH-fw6	0.0
ERR346600.656	IgH-fw3	0.0
ERR346600.668	IgH-fw2	0.0
ERR346600.661	IgH-fw3	0.0
ERR346600.647	IgH-fw5	0.0
ERR346600.667	IgH-fw3	0.0
ERR346600.671	IgH-fw2	0.0
ERR346600.674	IgH-fw2	0.0
ERR346600.666	IgH-fw5	0.0
ERR346600.663	IgH-fw12	0.0
ERR346600.669	IgH-fw6	0.0
ERR346600.670	IgH-fw9	0.0
ERR346600.676	IgH-fw6	0.0
ERR346600.672	IgH-fw2	0.0
ERR346600.678	IgH-fw10	0.0
ERR346600.673	IgH-fw8	0.0
ERR346600.681	IgH-fw1	0.0
ERR346600.677	IgH-fw1	0.0
ERR346600.680	IgH-fw12	0.0
ERR346600.679	IgH-fw9	0.0
ERR346600.684	IgH-fw4	0.0
ERR346600.682	IgH-fw9	0.0
ERR346600.691	IgH-fw2	0.0
ERR346600.686	IgH-fw6	0.0
ERR346600.685	IgH-fw6	0.0
ERR346600.690	IgH-fw3	0.0
ERR346600.683	IgH-fw3	0.0
ERR346600.692	IgH-fw5	0.0
ERR346600.688	IgH-fw5	0.0
ERR346600.687	IgH-fw2	0.0
ERR346600.689	IgH-fw10	0.0
ERR346600.695	IgH-fw3	0.0
ERR346600.697	IgH-fw2	0.0
ERR346600.698	IgH-fw6	0.0
ERR346600.693	IgH-fw1	0.0
ERR346600.696	IgH-fw2	0.0
ERR346600.702	IgH-fw5	0.0
ERR346600.704	IgH-fw6	0.0
ERR346600.700	IgH-fw6	0.0
ERR346600.694	IgH-fw9	0.0
ERR346600.708	IgH-fw3	0.0
ERR346600.706	IgH-fw9	0.0
ERR346600.707	IgH-fw2	0.0
ERR346600.705	IgH-fw9	0.0
ERR346600.711	IgH-fw10	0.0
ERR346600.712	IgH-fw1	0.0
ERR346600.701	IgH-fw12	0.0
