ID	DUPCOUNT	CPRIMER	VPRIMER
ERR346600.18930	12	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw15,IgH-fw9
ERR346600.15861	2	IgG	IgH-fw10
ERR346600.13253	9	IgG	IgH-fw10,IgH-fw12,IgH-fw13,IgH-fw3,IgH-fw9
ERR346600.107	28	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw8,IgH-fw9
ERR346600.13250	2	IgG	IgH-fw17,IgH-fw8
ERR346600.9382	3	IgG	IgH-fw1,IgH-fw2
ERR346600.3835	2	IgG	IgH-fw10,IgH-fw6
ERR346600.8724	25	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.23694	10	IgG	IgH-fw1,IgH-fw12,IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw8
ERR346600.8332	88	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw8,IgH-fw9
ERR346600.11105	2	IgG	IgH-fw10,IgH-fw12
ERR346600.2074	2	IgG	IgH-fw12,IgH-fw15
ERR346600.13320	3	IgG	IgH-fw1,IgH-fw2,IgH-fw4
ERR346600.14366	11	IgG	IgH-fw10,IgH-fw15,IgH-fw3,IgH-fw7,IgH-fw9
ERR346600.12915	11	IgG	IgH-fw1,IgH-fw10,IgH-fw2,IgH-fw3,IgH-fw4
ERR346600.142	10	IgG	IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw17,IgH-fw3,IgH-fw6,IgH-fw9
ERR346600.16363	2	IgG	IgH-fw10,IgH-fw9
ERR346600.20744	13	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.9177	2	IgG	IgH-fw3,IgH-fw5
ERR346600.875	2	IgG	IgH-fw10
ERR346600.9913	3	IgG	IgH-fw5,IgH-fw6
ERR346600.24723	2	IgG	IgH-fw10,IgH-fw15
ERR346600.12132	15	IgG	IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.24530	9	IgG	IgH-fw1,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw5,IgH-fw6
ERR346600.21597	5	IgG	IgH-fw15,IgH-fw2,IgH-fw4,IgH-fw5
ERR346600.15078	13	IgG	IgH-fw10,IgH-fw11,IgH-fw15,IgH-fw3,IgH-fw9
ERR346600.8914	4	IgG	IgH-fw1,IgH-fw5,IgH-fw9
ERR346600.3426	2	IgG	IgH-fw4,IgH-fw5
ERR346600.11007	2	IgG	IgH-fw15,IgH-fw5
ERR346600.24516	15	IgG	IgH-fw1,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7
ERR346600.6422	8	IgG	IgH-fw1,IgH-fw10,IgH-fw3,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.19140	7	IgG	IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw6
ERR346600.6363	2	IgG	IgH-fw2,IgH-fw3
ERR346600.2250	36	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw8
ERR346600.18757	2	IgG	IgH-fw3
ERR346600.22089	11	IgG	IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.11904	15	IgG	IgH-fw1,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.15800	9	IgG	IgH-fw17,IgH-fw2,IgH-fw5,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.12712	2	IgG	IgH-fw3,IgH-fw6
ERR346600.21829	2	IgG	IgH-fw10,IgH-fw2
ERR346600.18680	10	IgG	IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.19233	25	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.17503	2	IgG	IgH-fw13,IgH-fw3
ERR346600.19001	2	IgG	IgH-fw5,IgH-fw6
ERR346600.9956	15	IgG	IgH-fw1,IgH-fw10,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw9
ERR346600.6731	8	IgG	IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw15,IgH-fw9
ERR346600.9713	3	IgG	IgH-fw1,IgH-fw2,IgH-fw8
ERR346600.12078	4	IgG	IgH-fw10,IgH-fw3,IgH-fw9
ERR346600.85	35	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw8
ERR346600.8580	2	IgG	IgH-fw10,IgH-fw9
ERR346600.22908	179	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw13,IgH-fw15,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.10828	11	IgG	IgH-fw10,IgH-fw17,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.12044	2	IgG	IgH-fw1,IgH-fw9
ERR346600.15233	8	IgG	IgH-fw17,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw9
ERR346600.1929	20	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw13,IgH-fw15,IgH-fw3,IgH-fw5,IgH-fw7,IgH-fw9
ERR346600.17190	14	IgG	IgH-fw10,IgH-fw11,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.16693	2	IgG	IgH-fw1,IgH-fw17
ERR346600.22458	7	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw3,IgH-fw8,IgH-fw9
ERR346600.14543	58	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.24633	2	IgG	IgH-fw1,IgH-fw6
ERR346600.24757	3	IgG	IgH-fw1,IgH-fw4
ERR346600.5885	4	IgG	IgH-fw3,IgH-fw5,IgH-fw6
ERR346600.3805	2	IgG	IgH-fw17,IgH-fw2
ERR346600.17630	3	IgG	IgH-fw1,IgH-fw9
ERR346600.16173	2	IgG	IgH-fw16
ERR346600.4408	19	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.12080	2	IgG	IgH-fw11,IgH-fw14
ERR346600.5763	2	IgG	IgH-fw11
ERR346600.17637	3	IgG	IgH-fw11,IgH-fw5,IgH-fw6
ERR346600.14487	2	IgG	IgH-fw17,IgH-fw5
ERR346600.11210	14	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw4,IgH-fw5,IgH-fw9
ERR346600.16907	5	IgG	IgH-fw1,IgH-fw11,IgH-fw12,IgH-fw3,IgH-fw9
ERR346600.13627	5	IgG	IgH-fw12,IgH-fw5,IgH-fw6,IgH-fw7
ERR346600.3790	23	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw15,IgH-fw3,IgH-fw5,IgH-fw8,IgH-fw9
ERR346600.21238	25	IgG	IgH-fw10,IgH-fw11,IgH-fw15,IgH-fw8,IgH-fw9
ERR346600.8452	2	IgG	IgH-fw3,IgH-fw6
ERR346600.13562	2	IgG	IgH-fw2,IgH-fw9
ERR346600.5263	16	IgG	IgH-fw10,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw8
ERR346600.5669	2	IgG	IgH-fw1,IgH-fw2
ERR346600.18503	9	IgG	IgH-fw1,IgH-fw10,IgH-fw2,IgH-fw3,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.8317	3	IgG	IgH-fw1,IgH-fw3,IgH-fw4
ERR346600.10182	2	IgG	IgH-fw10,IgH-fw8
ERR346600.2424	2	IgG	IgH-fw1,IgH-fw6
ERR346600.23705	2	IgG	IgH-fw15,IgH-fw3
ERR346600.3014	2	IgG	IgH-fw2,IgH-fw5
ERR346600.9357	2	IgG	IgH-fw12,IgH-fw9
ERR346600.9067	2	IgG	IgH-fw5,IgH-fw6
ERR346600.15806	7	IgG	IgH-fw1,IgH-fw11,IgH-fw17,IgH-fw3,IgH-fw5,IgH-fw6
ERR346600.7205	2	IgG	IgH-fw2
ERR346600.19816	30	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.1570	31	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.6869	10	IgG	IgH-fw10,IgH-fw11,IgH-fw2,IgH-fw3,IgH-fw5,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.13412	2	IgG	IgH-fw1,IgH-fw6
ERR346600.5618	4	IgG	IgH-fw2,IgH-fw3
ERR346600.16334	2	IgG	IgH-fw10
ERR346600.21189	17	IgG	IgH-fw1,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.22386	2	IgG	IgH-fw1,IgH-fw9
ERR346600.21242	6	IgG	IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2,IgH-fw9
ERR346600.19765	3	IgG	IgH-fw9
ERR346600.18752	2	IgG	IgH-fw10,IgH-fw9
ERR346600.10077	2	IgG	IgH-fw5
ERR346600.6365	27	IgG	IgH-fw1,IgH-fw11,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.21936	52	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.20720	18	IgG	IgH-fw1,IgH-fw10,IgH-fw14,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7
ERR346600.13260	2	IgG	IgH-fw3,IgH-fw5
ERR346600.23718	2	IgG	IgH-fw2,IgH-fw4
ERR346600.4802	5	IgG	IgH-fw10,IgH-fw11,IgH-fw3,IgH-fw6
ERR346600.10540	2	IgG	IgH-fw9
ERR346600.817	2	IgG	IgH-fw3,IgH-fw6
ERR346600.23337	2	IgG	IgH-fw6
ERR346600.10617	20	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw15,IgH-fw17,IgH-fw3,IgH-fw8,IgH-fw9
ERR346600.11836	8	IgG	IgH-fw17,IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.17584	2	IgG	IgH-fw2,IgH-fw4
ERR346600.10622	13	IgG	IgH-fw11,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.19469	2	IgG	IgH-fw4,IgH-fw6
ERR346600.421	3	IgG	IgH-fw6,IgH-fw9
ERR346600.9900	6	IgG	IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2
ERR346600.1443	9	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw3,IgH-fw9
ERR346600.17945	8	IgG	IgH-fw1,IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw9
ERR346600.20367	16	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw15,IgH-fw3,IgH-fw9
ERR346600.14210	11	IgG	IgH-fw10,IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.10990	12	IgG	IgH-fw1,IgH-fw10,IgH-fw17,IgH-fw3,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.17766	2	IgG	IgH-fw2,IgH-fw9
ERR346600.6067	2	IgG	IgH-fw10
ERR346600.21251	58	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.10575	6	IgG	IgH-fw1,IgH-fw10,IgH-fw2,IgH-fw8,IgH-fw9
ERR346600.4258	12	IgG	IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw3,IgH-fw8,IgH-fw9
ERR346600.6310	43	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw14,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.5994	9	IgG	IgH-fw1,IgH-fw10,IgH-fw17,IgH-fw2,IgH-fw4,IgH-fw6,IgH-fw9
ERR346600.2576	2	IgG	IgH-fw8,IgH-fw9
ERR346600.19800	2	IgG	IgH-fw11,IgH-fw6
ERR346600.7416	6	IgG	IgH-fw1,IgH-fw10,IgH-fw8,IgH-fw9
ERR346600.21468	2	IgG	IgH-fw15,IgH-fw4
ERR346600.18679	29	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.10199	2	IgG	IgH-fw15,IgH-fw3
ERR346600.8735	4	IgG	IgH-fw10,IgH-fw17,IgH-fw2,IgH-fw6
ERR346600.10117	22	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw13,IgH-fw3,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.13213	10	IgG	IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5
ERR346600.4096	2	IgG	IgH-fw1,IgH-fw3
ERR346600.21791	8	IgG	IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw4,IgH-fw5
ERR346600.24181	17	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.17268	4	IgG	IgH-fw11,IgH-fw3,IgH-fw9
ERR346600.16971	3	IgG	IgH-fw12,IgH-fw2,IgH-fw4
ERR346600.6836	2	IgG	IgH-fw9
ERR346600.3140	2	IgG	IgH-fw3,IgH-fw9
ERR346600.14166	5	IgG	IgH-fw1,IgH-fw3,IgH-fw5,IgH-fw6
ERR346600.19834	3	IgG	IgH-fw9
ERR346600.3305	6	IgG	IgH-fw1,IgH-fw12,IgH-fw5,IgH-fw9
ERR346600.20420	20	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw15,IgH-fw3,IgH-fw5,IgH-fw6,IgH-fw8,IgH-fw9
ERR346600.4407	2	IgG	IgH-fw12
ERR346600.8806	8	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw9
ERR346600.9033	27	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.24382	2	IgG	IgH-fw1,IgH-fw6
ERR346600.21341	4	IgG	IgH-fw3,IgH-fw4,IgH-fw6,IgH-fw9
ERR346600.16588	2	IgG	IgH-fw10,IgH-fw3
ERR346600.23073	3	IgG	IgH-fw2,IgH-fw5,IgH-fw9
ERR346600.5882	30	IgG	IgH-fw1,IgH-fw12,IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.400	2	IgG	IgH-fw15,IgH-fw3
ERR346600.22703	10	IgG	IgH-fw17,IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw9
ERR346600.11890	9	IgG	IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.21609	3	IgG	IgH-fw10,IgH-fw3,IgH-fw9
ERR346600.13594	6	IgG	IgH-fw11,IgH-fw8,IgH-fw9
ERR346600.6786	2	IgG	IgH-fw1,IgH-fw10
ERR346600.7036	14	IgG	IgH-fw10,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.15878	2	IgG	IgH-fw4,IgH-fw9
ERR346600.22616	4	IgG	IgH-fw1,IgH-fw4,IgH-fw6
ERR346600.6913	3	IgG	IgH-fw10,IgH-fw8
ERR346600.5259	225	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw13,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw8,IgH-fw9
ERR346600.19794	93	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.4717	8	IgG	IgH-fw1,IgH-fw10,IgH-fw12,IgH-fw13,IgH-fw8,IgH-fw9
ERR346600.24567	2	IgG	IgH-fw3,IgH-fw9
ERR346600.12247	2	IgG	IgH-fw4,IgH-fw6
ERR346600.19110	19	IgG	IgH-fw1,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.24761	32	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw8,IgH-fw9
ERR346600.13290	25	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw5
ERR346600.14807	3	IgG	IgH-fw17,IgH-fw2,IgH-fw5
ERR346600.22658	3	IgG	IgH-fw11,IgH-fw9
ERR346600.18319	4	IgG	IgH-fw15,IgH-fw8,IgH-fw9
ERR346600.6308	3	IgG	IgH-fw10,IgH-fw3,IgH-fw5
ERR346600.15346	8	IgG	IgH-fw1,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw7,IgH-fw9
ERR346600.18994	3	IgG	IgH-fw4,IgH-fw6,IgH-fw9
ERR346600.13716	2	IgG	IgH-fw1,IgH-fw17
ERR346600.219	2	IgG	IgH-fw4,IgH-fw6
ERR346600.20126	2	IgG	IgH-fw1,IgH-fw6
ERR346600.16357	3	IgG	IgH-fw12,IgH-fw2
ERR346600.24518	13	IgG	IgH-fw11,IgH-fw17,IgH-fw2,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.11253	15	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw13,IgH-fw3,IgH-fw8,IgH-fw9
ERR346600.10840	17	IgG	IgH-fw1,IgH-fw10,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.17376	3	IgG	IgH-fw1,IgH-fw4,IgH-fw6
ERR346600.22665	2	IgG	IgH-fw4
ERR346600.882	7	IgG	IgH-fw10,IgH-fw3,IgH-fw8,IgH-fw9
ERR346600.9464	9	IgG	IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw9
ERR346600.15444	2	IgG	IgH-fw11,IgH-fw4
ERR346600.1084	7	IgG	IgH-fw15,IgH-fw17,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.2192	16	IgG	IgH-fw1,IgH-fw10,IgH-fw13,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.9172	8	IgG	IgH-fw10,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.18350	9	IgG	IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.18982	25	IgG	IgH-fw1,IgH-fw12,IgH-fw15,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw9
ERR346600.24251	15	IgG	IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw2,IgH-fw3,IgH-fw5,IgH-fw6
ERR346600.15095	2	IgG	IgH-fw2,IgH-fw3
ERR346600.6018	37	IgG	IgH-fw1,IgH-fw10,IgH-fw11,IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.5026	17	IgG	IgH-fw1,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7
ERR346600.10646	18	IgG	IgH-fw10,IgH-fw11,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.21168	9	IgG	IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6
ERR346600.21418	2	IgG	IgH-fw12
ERR346600.15571	2	IgG	IgH-fw1,IgH-fw4
ERR346600.2219	6	IgG	IgH-fw1,IgH-fw3,IgH-fw4,IgH-fw9
ERR346600.23163	3	IgG	IgH-fw3,IgH-fw5,IgH-fw6
ERR346600.5250	19	IgG	IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.4599	7	IgG	IgH-fw17,IgH-fw3,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.665	9	IgG	IgH-fw11,IgH-fw3,IgH-fw5,IgH-fw6,IgH-fw9
ERR346600.6101	10	IgG	IgH-fw1,IgH-fw10,IgH-fw15,IgH-fw2,IgH-fw3
ERR346600.18100	22	IgG	IgH-fw12,IgH-fw17,IgH-fw2,IgH-fw3,IgH-fw4,IgH-fw5,IgH-fw6,IgH-fw7,IgH-fw9
ERR346600.236	2	IgG	IgH-fw9
ERR346600.14513	2	IgG	IgH-fw10,IgH-fw17
ERR346600.24147	2	IgG	IgH-fw3,IgH-fw7
ERR346600.2073	2	IgG	IgH-fw3
